Sloka,Prose
kimarthaṃ cāpi nikṣipya dūre balamihāgataḥkasmānnehopayāto'si sabalaḥ puruṣarṣabhaḥ,puruṣarṣabhaḥ kimartham balam dūre nikṣipya iha āgataḥ iha sabalaḥ kasmāt na upayātaḥ asi
vajrasaṃsparśabāṇasya bhāryāṃ rāmasya rāvaṇa alpabuddhe harasyenāṃ vadhāya khalu rakṣasām,alpabuddhe rāvaṇa vajrasaṃsparśabāṇasya rāmasya bhāryām enām rakṣasām vadhāya harasi
vīraḥ pṛthuyaśāśśrīmānatulyabalavikramaḥhataṃ tena janasthānaṃ kharaśca saha dūṣaṇaḥ,vīraḥ pṛthuyaśāḥ atulyabalavikramaḥ te janasthānam hatam sahadūṣaṇaḥ kharaśca
bruvāṇo'pihitaṃvākyamiṣṭobhrātāvibhīṣaṇaḥ dhṛṣṭaṃparuṣitomohattvayātmavathakāṅkṣiṇā,hitam vākyam bruvāṇo'pi iṣṭaḥbhrātā vibhīṣaṇaḥ dhṛṣṭam ātmavathakāṅṇā tvayā mohāt paruṣitaḥ
taṃ tu mandodarīputtraṃ kumāraṃ raṇapaṇḍitam sahasā khaṃ samutkrāntaṃ pādayośca gṛhītavāncarmāsinaṃ śataguṇaṃ bhrāmayitvā vyapeṣayam,raṇapaṇḍitam mandodarīputtram kham utkrāntam carmāsinam taṃ kumāram sahasā pādayoḥ gṛhītavān śataguṇam bhrāmayitvā vyaveṣayam
śrutvā'ṅgadasyāpi vaco'nukūlamūcuśca sarve harayaḥ pratītāḥyathā na hiṃsyema tathā vidhānamasaktamadyaiva vidhīyatāṃ naḥ,aṅgadasya vacaḥ śrutvā sarve harayaḥ pratītāḥ anukūlam ūcuḥ yathā na hiṃsyema tathā naḥ adyaiva vidhānam asaktam vidīyatām
na hi mithyā pratijñātaṃ kariṣyati tavānaghaḥ śrīmāndaśaratho rājā devi rājīvalocanaḥ,devi anaghaḥ śrīmān rājīvalocanaḥ rājā daśarathaḥ tava pratijñātam mithyā na kariṣyati hi
taddhṛṣṭvā cintayāmāsa mārutirvikṛtānanamkapirājena kathitaṃ sattvamadbhutadarśanam chāyāgrāhi mahāvīryaṃ tadidaṃ nātra saṃśayaḥ,mārutiḥ vikṛtānanam tat dṛṣṭvā cintayāmāsa kapirājena kathitam adbhutadarśanam chāyāgrāhi mahāvīryam tat sattvam idam atra saṃśayaḥ na
lakṣmaṇastu maholkābhirjvalitābhissamantataḥcitāmādīpayāmāsa sā prajajvāla sarvataḥ,lakṣmaṇastu jvalitābhiḥ maholkābhiḥ samantataḥ citām ādīpayāmāsa sarvataḥ prajajvāla
sā dīnā niścayaṃ kṛtvā mantharāvākyamohitānāgakanyeva niśvasya dīrghamuṣṇaṃ ca bhāminī muhūrtaṃ cintayāmāsa mārgamātmasukhāvaham,sā bhāminī mantharāvākyamohitā dīnā niścayaṃ kṛtvā nāgakanyeva dīrgham uṣṇaṃ ca niśvasya muhūrtam ātmasukhāvaham mārgam cintayāmāsa
atha māmevamavyagrāṃ vanaṃ naiva nayiṣyativiṣamadyaiva pāsyāmi mā viśaṃ dviṣatāṃ gamam,atha evam avyagrām mām vanam naiva nayiṣyati yadi adyaiva viṣam pāsyāmi dviṣatām vaśam mā gamam
vyākośapadmavaktrāṇipadmakesaravarcasām adyayūthataṭākānigajavatpramathāmyaham,adya vyākośapadmavaktrāṇi padmakesaravarcasām yūthataṭākāni aham gajavat pramathāmi
dharmamarthaṃ ca kāmaṃ ca pṛthivīṃ cāpi lakṣmaṇaicchāmi bhavatāmarthe etat pratiśṛṇomi te,lakṣmaṇa dharmam arthaṃ ca kāmaṃ ca pṛthivīṃ cāpi bhavatām arthe icchāmi etat te pratiśṛṇomi
ekenāhnātvasauvīraścaran bhūmiṃbubhukṣitaḥ vyāttāsyobhakṣayellokān saṅkṛddhaivapāvakaḥ,asauvīraḥ ekena āhnā bubhukṣitaḥ bhūmim caran vyāttāsyaḥ saṅkṛddhaḥ pāvakaḥiva lokān bhakṣayet
tataśśūrpaṇakhāṃ rāmaḥ kāmapāśāvapāśitāmsvacchayā ślakṣṇayā vācā smitapūrvamathābravīt,tataḥ rāmaḥ kāmapāśāvapāśitām śūrpaṇakhām svacchayā ślakṣṇayā vācā smitapūrvam atha abravīt
dīptamagnimaraṇyaṃ vā yadi rāmaḥ pravekṣyatipraviṣṭaṃ tatra māṃ devi tvaṃ pūrvamavadhāraya,devi rāmaḥ dīptam agnim araṇyaṃ vā pravekṣyati yadi pūrvam mām tatra praviṣṭam tvam avadhāraya
aprāptāmevatāṃbāṇaistribhiścicchedalakṣmaṇaḥ athodatiṣṭhatsannādovānarāṇāṃmahāraṇe,lakṣmaṇaḥ aprāptāmeva tām tribhiḥ bāṇaiḥ ciccheda atha mahāraṇae vānarāṇām sannādaḥ udatiṣṭhata
uktāyadrāvaṇenatvaṃpratyuktaścasvayaṃtvayā sakhīsnehenatabhadīrumayāsarvaṃpratiśrutam līnayāgahaneśūnyebhayamutsṛjyarāvaṇāt tavahetorviśālākṣī nahimejīvitaṃpriyam,bhīru tvam rāvaṇena yat uktā tvayā svayam pratyuktaśca tat sarvam śūnye gahane līnayā mayā sakhīsnehena rāvaṇāt bhayam utsṛjya pratiśrutam viśālākṣi tavahetoḥ me jīvitam bhayam nahi
sarvaṃ caivāṅgade doṣaṃ śrāvayiṣyāmi pārthiveamarṣī vacanaṃ śrutvā ghātayiṣyati vānarān,aṅgade sarvam doṣam pārthive śrāvayiṣyāmi vacanam śrutvā amarṣi vānarān ghātayiṣyati
saptadhātu kṛte garbhe diti: paramadu:khitāsahasrākṣaṃ durādharṣaṃ vākyaṃ sānunayā'bravīt,garbhe saptadhā kṛte diti: paramadu:khitā durādharṣam sahasrākṣam sānunayā vākyam abravīt
īṣaccha hṛṣito vāsyā dakṣiṇāyā hyadakṣiṇaḥ akasmādeva vaidehyā bāhurekaḥ prakampate,dakṣiṇāyāḥ asyāḥ vaidehyāḥ adakṣiṇaḥ ekaḥ bāhuḥ akasmādeva hṛṣitaḥ īṣat prakampate
agniketuścasudurdharṣoraśmiketuścarākṣasaḥ suptaghnoyajñakopaścarāmeṇasahasaṅgatāḥ,sudurdharṣaḥ agniketuḥ rākṣasaḥ raśmiketuśca suptaghnuḥ yajñakepaśca rāmeṇasaha saṅgatāḥ
drakṣyanti nūnaṃ puruṣā dīrghabāhuṃ vanecarāḥrāmamutthāya gacchantaṃ lokanāthamanāthavat,dīrghabāhum lokanāthaṃ anāthavat utthāya gacchantam rāmam nūnam vanecarāḥ puruṣāḥ drakṣyanti
yannadevaiḥkṛtorājānāpidaityairnadānavaiḥ kṛtaḥsaiharāmeṇavimuktaḥprāṇasaṃśayāt,saḥrājā devaiḥ yat nakṛtaḥ daityaiḥ na dānavaiḥ na iha rāmeṇa kṛtaḥ prāṇasaṃśayāt vimuktaḥ
tasminpratihate'streturāvaṇorākṣasādhipaḥ krodhaṃ ca dviguṇaṃcakrekrodhāccāstramanantaram,tasmin astre pratihate rākṣasādhipaḥ rāvaṇaḥ dviguṇam krodham cakre krodhāt anantaram astram
tato'bhyanandansamhṛṣṭāssamarehariyūthapāḥ tamapratibalaṃdṛṣṭavāhataṃnairṛtapuṅgavam,tataḥ samare hatam apratibalam tam nairṛtapuṅgavam dṛṣṭavā hariyūthapāḥ samhṛṣṭāḥ abhyanandan
madapragalbheṣu ca vāraṇeṣugavāṃ samūheṣu ca darpiteṣuprasannatoyāsu ca nimnagāsuvibhāti lakṣmīrbahudhā vibhaktā,madapragalbheṣu vāraṇeṣu darpiteṣu gavām samūheṣu prasannatoyāsu nimnagāsu ca bahudhā vibhaktā lakṣmīḥ vibhāti
name'simitraṃnatathānukampyonacopakartāpinamepriyo'si ariścarāmasyasahānubandhastato'sivālīvavadhārhavadhyaḥ,vadhārha: me: mitram naasi: tathā: anukampyaḥ na: upakartāca: naasi: me: priyaḥ naapi: rāmasya: ariḥ tataḥ vālīva: sahānubandhaḥ vadhyaḥ asi:
arthataścamayāprāptādevarajyādayoguṇāḥ hataśatruṃvijayinaṃrāmaṃpaśyāmisusthitam,hataśatrum vijayinam susthitam rāmam paśyāmi arthataḥ mayā devarājyādayaḥ guṇāḥ prāptāḥ
tatastānkapivṛddhāṃstu śiṣṭāṃścaiva vanaukasaḥvācā madhurayā'bhāṣya yathāvadanumānya ca sa tu siṃhavṛṣaskandhaḥ pīnāyatabhujaḥ kapiḥyuvarājo mahāprājñaḥ aṅgado vākyamabravīt,tataḥ siṃhavṛṣaskandhaḥ pīnāyatabhujaḥ yuvarājaḥ mahāprājñaḥ kapiḥ aṅgadaḥ tān kapivṛddhāṃstu śiṣṭān vanaikasaścaiva madhurayā vācā ābhāṣya yathāvat anumānya ca vākyam abravīt
ityevaṃvilapantisābāṣpaparyākulekṣaṇā snehopaskannahṛdayā tadā mohāmupāgamat,sā ityevam vilapanti bāṣpaparyākulekṣaṇā snehopaskannahṛdayā tadā moham upāgamat
śarābhitaptena vicetasā mayāpradūṣitastvaṃ yadajānatā prabhoidaṃ mahendropama bhīmavikramaprasāditastvaṃ kṣama me nareśvara,prabho mahendropam bhīmavikrama nareśvara śarābhitaptena vicetasā ajānatā mayā tvam yat pradūṣitaḥ me idam kṣamasva tvam prasāditaḥ
trāhaṃvānarendreṇasugrīveṇasamāgataḥ samayaścakṛtaḥsītevadhārthaṃvālinomayā,sīte atra aham vānarendreṇa sugrīveṇa samāgataḥ mayā vālinaḥ vadhārtham samayaśca kṛtaḥ
tadidaṃnastvayākāryaṃkṛtaṃdharmabhṛtāṃvara nihatorāvaṇorāmaprahṛṣṭodivamākrama,dharmabhṛtām vara rāma tat idam naḥkāryam kṛtam rāvaṇaḥ nihataḥ prahṛṣṭaḥ divam ākrama
yetuviṣṭabhyagātrāṇikṣvelayantinadantica utthāyacavijṛmbhantekrodhenaharipuṅgavāḥ eteduṣprasahāghorāścaṇḍāścaṇḍaparākramāḥ aṣṭauśatasahasrāṇidaśakoṭiśatānica yaenamanugacchantivīrāścandanavāsinaḥ eṣaivāśaṃsatelaṅkāṃsvenānīkenamarditum,ye: haripuṅga: gātrāṇi: viṣṭabhya: kṣvelayanti: nadantica: krodhena: utthāya: vijṛmbhante: candanavāsinaḥ aṣṭośatasahāsrāṇi: daśakoṭiśatānica: ye: vīrāḥ enam anugacchanti: ete: duṣprasahāḥ caṇḍāḥ ghorāḥ caṇḍaparākramāḥ eṣaiva: svena: anīkena: laṅkām marditum āśaṃsate:
tvaṃ vayasyo'si me hṛdyo hyekaṃ duḥkhaṃ sukhaṃ ca nau sugrīvo rāghavaṃ vākyamityuvāca prahṛṣṭavat,tvam me hṛdyaḥ vayasyaḥ asi nau sukham duḥkhaṃ ca hyekam iti sugrīvaḥ prahṛṣṭavat vākyam uvāca
ṛṣisaṅghaistadākāśedevaiścasamarudgaṇaiḥ stūyamāsyarāmasyaśuśruvamadhuradhvaniḥ,tadā rāmasya ṛṣisaṅghaiḥ samarudgaṇaiḥ devaiśca ākāśe stūyamānasya madhuradhvaniḥ śuśruve
kaccitsaumya na te rājyaṃ bhraṣṭaṃ bālasya śāśvatamkaccicchuśrūṣase tāta pitaraṃ satyavikramam,saumya bālasya te śāśvatam rājyam na bhraṣṭaṃ kaccit tāta satyavikramam pitaram śuśrūṣase kaccit
jīvitaṃ ca sukhaṃ caiva rājyaṃ caiva sudurlabhamyadīcchasi ciraṃ bhoktuṃ mā kṛthā rāmavipriyam,jīvitaṃ ca sukhaṃ caiva sudurlabham rājyaṃ caiva ciram bhoktum icchasi yadi rāmavipriyam mā kṛthāḥ
ayaṃ vātātmajaḥ śrīmānplavate sāgaroparihanumānnāma tasya tvaṃ muhūrtaṃ vighnamācara rākṣasaṃ rūpamāsthāya sughoraṃ parvatopamamdaṃṣṭrākarālaṃ piṅgākṣaṃ vaktraṃ kṛtvā nabhaḥ samam,hanumannāma śrīmān ayaṃ vātātmajaḥ sāgaropari plavate tvam sughoram parvatopamam rākṣasam rūpam āsthāya daṃṣṭrākarālam piṅgākṣam nabhaḥ samam vaktram kṛtvā muhūrtam tasya vighnam ācara
naiva sā nūnamathavā hiṃsitā cāruhāsinīkṛcchraprāptaṃ na māṃ nūnaṃ yathopekṣitumarhati,athavā sā naiva cāruhāsinī hiṃsitā nūnam yathā kṛcchraprāptam mām upekṣitum nārhati nūnam
aśrūṇyānandajānitvaṃvartayiṣyasiśobhane samāgamyapariṣvajyatasyorasimahorasaḥ,śobhane samāgamya pariṣvajya mahorasaḥ tasya urasi ānandajāni aśrūṇyāṇi vartayiṣyasi
sa rājakulamāsādya meghasaṅghopamai śśubhaiḥ prāsādaśṛṅgairvividhaiḥkailāsa śikharopamaiḥ āvārayadbhirgaganaṃ vimānairiva pāṇḍuraiḥ vardhamānagṛhaiścāpi ratnajālapariṣkṛtaiḥ tatpṛthivyāṃ gṛhavaraṃ mahendrasadanopamam rājaputraḥ piturveśma praviveśa śriyā jvalan,saḥ rājaputraḥ rājakulam āsādya meghasaṅghopamaiḥ śubhaiḥ kailāsaśikharopamaiḥ pāṇḍuraiḥ vimānairiva gaganam āvārayadbhiḥ vividhaiḥ prāsādaśṛṅgai: ratnajālapariṣkṛtaiḥ vardhamānagṛhaiścāpi pṛthivyām mahendrasadanopamam gṛhavaram tat veśma śriyā jvalan praviveśa
nīlotpaladalaśyāmāśśyāmīkṛtvā diśo daśavimadā iva mātaṅgāśśāntavegāḥ payodharāḥ,nīlotpaladalaśyāmā payodharāḥ daśa diśaḥ śyāmīkṛtvā vimadāḥ mātaṅgāḥ iva śāntavegāḥ
tasya te kānanāntāśca girīṇāṃ kandarāṇi caprabhavani nadīnāṃ ca vicinvanti samāhitāḥ,te samāhitāḥ tasya kānanāntāśca girīṇām kandarāṇi ca nadīnām prabhavāni ca vicinvanti
parasparaṃ kecidupāśrayante parasparaṃ kecidupākramanteparasparaṃ kecidupabruvante parasparaṃ kecidupāramante,kecit parasparam upāśrayante kecit parasparam upākramante kecit parasparam upabruvante kecit parasparam upāramante
ākṣiptāḥkṣipyamāṇāścabhagnaśūlāścavānaraiḥ punaraṅgaistadācakrurāsannāyuddhamadbhutam,vānaraiḥ bhagnaśūlāḥ ākṣiptāḥ kṣipyamāṇāśca tadā āsannāḥ tadā adbhutam yuddham aṅgaiḥ cakruḥ
tatogavākṣogavayassudaṃṣṭrastvatharṣabhojyotimukhonalaśca śailān samutpāṭyavivṛddhakāyāḥpradudruvustaṃpratirākṣasendram,tataḥ gavākṣaḥ gavayaḥ sudaṃṣṭra atha ṛṣabhaḥ jyotimukhaḥ nalaśca śailān samutpāṭya vivṛddhakāyāḥ tam rākṣasendraṃprati pradudruvuḥ
tato yūthapatirvīro durmukho nāma vānaraḥpratyadṛśyata koṭībhyāṃ dvābhyāṃ parivṛto balī,tataḥ yūthapatiḥ vīraḥ balī durmukho nāma vānaraḥ dvābhyām koṭībhyām parivṛtaḥ pratyadṛśyata
lakṣmaṇaśca mahātejā bhartuste'nucaraḥ priyaḥkṛtavānśokasantaptaśśirasā te'bhivādanam,mahātejāḥ te bhartuḥ priyaḥ anucaraḥ lakṣmaṇaśca śokasantaptaḥ śirasā te abhivādanam kṛtavān
ripūṇāṃpratikūlānāṃyuddhārthamabhivartatām ubhābhyāṃsadṛśaṃnāmavaktumaprastavestavam,aprastave ubhābhyām pratikūlānām yuddhārtham abhivartatām ripūṇām stavam vaktum sadṛśaṃnāma
udīcyā śca pratīcyā śca dākṣiṇātyāśca kevalāḥkoṭyāparāntāssāmudrāratnānyabhiharantute,udīcyāḥ pratīcyā śca dākṣiṇātyāśca kevalāḥ aparāntāḥ sāmudrāḥ te koṭyā ratnāni abhiharantu
te gṛhītvauṣadhīssarvāḥ phalamūlaṃ ca vānarāḥtaṃ pratigrāhayāmāsurvacanaṃ cedamabruvan,te vānarāḥ sarvāḥ oṣadhīḥ phalamūlaṃ ca gṛhītvā tam pratigrāhayāmāsuḥ idam vacanam abruvan ca
devadānavayakṣāṇāṃgandharvoragarakṣasām śatrumadyoddhariṣyāmitvāmṛṣīṇāṃcakaṇṭakam,devadānavayakṣāṇām gandharvoragarakṣasām śatrum ṛṣīṇām kaṇṭakaṃca tvām adya uddhariṣyāmi
eṣa parvatasaṅkāśo hanumān mārutātmajaḥtitīrṣati mahāvegassamudraṃ makarālayam,parvatasaṅkāśaḥ mārutātmajaḥ mahāvegaḥ eṣaḥ hanumān makarālayam samudram titīrṣati
rāmasya vacanaṃ śrutvā sarvabhūtasamudbhavamācacakṣe dvijastasmai kulamātmānameva ca,dvijaḥ rāmasya vacanam śrutvā sarvabhūtasamudbhavam kulam ātmānameva ca tasmai ācacakṣe
tasmiṃstudivamārūḍhesusārathisantame rāghavaḥparamaprītassugrīvaṃpariṣasvaje,tasmin divam ārūḍhe susārathi santame rāghavaḥ paramaprītaḥ sugrīvam pariṣasvaje
vitrāsayitukāmā vā līnā syātkānane kvacitjijñāsamānā vaidehī tvāṃ māṃ ca puruṣarṣabha tasyāhyanveṣaṇe śrīman kṣiprameva yatāvahe,puruṣarṣabha vaidehī tvāṃ ca māṃ ca vitrāsayitukāmā vā jijñāsamānā kānane kvacit līnā syāt śrīman tasyāḥ anveṣaṇe kṣiprameva yatāvahe
śroṇisūtreṇa mahatā mecakena susaṃvṛtaḥamṛtotpādanaddhena bhujageneva mandaraḥ,amṛtotpādanaddhena bhujagena mandaraḥ iva mahatā mecakena śroṇisūtreṇa susaṃvṛtaḥ
talairaśanikalpaiśca vajrakalpaiśca muṣṭibhiḥjaghnatussamare'nyonyaṃ bhrātarau krodhamūrchitau,krodhamūrchitau bhrātarau aśanikalpaiḥ talaiḥ vajrakalpaiḥ muṣṭibhiḥ samare anyonyam jaghnatuḥ
yakṛtplīhamathotpīḍaṃ hṛdayaṃ ca sabandhanamāntrāṇyapi tathā śīrṣaṃ khādeyamiti me matiḥ,yakṛt plīham utpīḍam sabandhanam hṛdayaṃ ca antrāṇyapi ca tathā śīrṣam khādeyam iti me matiḥ
evamuktāssurāssarve pratyūcurviṣṇumavyayammānuṣīṃ tanumāsthāya rāvaṇaṃ jahi saṃyuge,evam uktā: surā: sarve avyayam viṣṇum pratyūcu: mānuṣīm tanum āsthāya saṃyuge rāvaṇam jahi
rājā daśaratho nāma rathakuñjaravājimānpuṇyaśīlo mahākīrtirikṣvākūṇāṃ mahāyaśāḥ,rathakuñjaravājimān puṇyaśīlaḥ mahākīrtiḥ ikṣvākūṇām mahāyaśāḥ daśaratho nāma rājā
imāṃhatvātatorāmaṃlakṣmaṇaṃtvāṃ ca vānara sugrīvaṃ ca vadhiṣyāmitaṃcānāryaṃvibhīṣaṇam,vānara imām hatvā tataḥ rāmam lakṣmaṇaṃ ca tvāṃ ca sugrīvaṃ ca anāryam taṃvibhīṣaṇaṃ ca vadhiṣyāmi
samālabhya tata ssarve kṛtvā cainaṃ pradakṣiṇam ṣaṣṭi: putrasahasrāṇi bibhidurvasudhātalam,tata: sarve ṣaṣṭi: putrasahasrāṇi enam samālabhya pradakṣiṇaṃ ca kṛtvā vasudhātalam bibhidu:
tamevaṃ duḥkhitaṃ prekṣya vilapantaṃ yaśasvinamrāmaḥ kṛtātmā bharataṃ samāśvāsayadātmavān,kṛtātmā ātmavān rāmaḥ evam vilapantam yaśasvinam duḥkhitam taṃ bharatam prekṣya samāśvāsayat
etattadiṅgudīmūlamidameva ca tattṛṇamyasminrāmaśca sītā ca rātriṃ tāṃ śayitāvubhau,rāmaśca sītā ubhau tāṃ rātrim yasmin śayitau tat iṃgudīmūlam etat tat tṛṇaṃ ca idameva
taṃvibhīṣaṇasugrīvauhanūmāñjāmbavānnaḻa ṛkṣarājastathānīlolakṣmaṇaścānvayustadā,tadā vibhīṣaṇasugrīvau hanumān ṛkṣarājaḥ jāmbavān nalaḥ tathā nīlaḥ lakṣmaṇaśca tam anvayuḥ
tatassaṃvatsare pūrṇe kṣayaṃ yātāni sarvaśa:sādhanāni muniśreṣṭha tato'haṃ bhṛśadu:khita:,muniśreṣṭha tata: saṃvatsare pūrṇe sarvaśa: sādhanāni kṣayaṃ yātāni tata: aham bhṛśadu:khita:
anyā tu vikaṭā nāma lambamānapayodharā abravītkupitā sītāṃ muṣṭimudyamya garjatī,lambamānapayodharā vikaṭānāma anyā tu muṣṭim udyamya kupitā garjatī sītām abravīt
tatastvadarśayan sarvānbhakṣyāṃścavividhān bahūn varāhānmahiṣāṃścaivababhakṣasamahābalaḥ,tataḥ vividhān bahūn sarvān bhakṣyān ca varāhān mahiṣāṃścaiva adarśayan saḥ babhakṣa
rāmasyaturagāndīptai: śarairvivyātharāvaṇaḥ tedivyāharayastatranāskhalannāpibabhramuḥ babhūvuḥsvasthahṛdayāḥpadmanālairivāhatāḥ,rāvaṇaḥ dīptai: śaraiḥ rāmasya turagān vidyātha divyāḥ teturagāḥ tatra nāskhalan na babhramuḥ padmanāraiḥ āhatāḥiva svasthahṛdayāḥ babhūvuḥ
asminnaraṇye bhagavānagastyo munisattamaḥ vasatīti mayā nityaṃ kathāḥ kathayatāṃ śrutam,bhagavān munisattamaḥ agastyaḥ asmin araṇye vasatīti nityam kathāḥ kathayatām śrutam
vikṛtā ca virūpā ca na ceyaṃ sadṛśī tava ahamevānurūpā te bhāryā rūpeṇa paśya mām,vikṛtā ca virūpā ca iyam tava na sadṛśī te ahameva anurūpā mām bhāryārūpeṇa paśya
sumantraścintayāmāsa tvaritaṃ coditastayā vyaktaṃ rāmo'bhiṣekārthamihāyāsyati dharmavit,tayā coditaḥ sumantraḥ cintayāmāsa dharmavit rāmaḥ vyaktam abhiṣekārtham iha āyāsyati
pratikarmacasītāyāssarvādaśarathastriyaḥ ātmanaivatadācakrurmanasvinyomanoharam,tadā sarvāḥ manasvinyaḥ daśarathastriyaḥ sītāyāḥ manoharam pratikarma ātmanaiva cakruḥ
yadi śūrpaṇakhāhetorjanasthānagataḥ kharaḥ ativṛtto hataḥ pūrvaṃ rāmeṇākliṣṭakarmaṇāatra brūhi yathātattvaṃ ko rāmasya vyatikramaḥ yasya tvaṃ lokanāthasya bhāryāṃ hṛtvā gamiṣyasi,śūrpaṇakhāhetoḥ janasthānagataḥ kharaḥ ativṛttaḥ ākliṣṭakarmaṇā rāmeṇa pūrvam hataḥ yadi atra lokanāthasya yasya bhāryām tvam hṛtvā gamiṣyasi hariṣyasi rāmasya vyatikramaḥ kaḥ yathātattvam brūhi
tasyāḥ sakāśaṃ dūto'haṃ gamiṣye rāmaśāsanātkartumarhasi rāmasya sāhyaṃ viṣayavāsini,aham rāmaśāsanāt dūtaḥ tasyāḥ sakāśam gamiṣye viṣayavāsini rāmasya sāhyam kartum arhasi
navāsavenāpisahasracakṣuṣāyathāsmiśakyovaruṇenavāsvayam yamenavādharṣayituṃśarāgnināmahāhavevaiśravaṇenavāpuna:,sahasracakṣuṣā vāsavenānipi puna: varuṇenāpi yudhde yamenavā mahāhave svayam vaiśravaṇenavā śarāgninā śakyaḥ na
brāhmaṇāḥkṣatriyāvaiśyāśśūdrālobhavivarjitāḥ svakarmasupravartantetuṣṭāssvairevakarmabhiḥ āsanprajādharmaparārāmeśāsatinānṛtāḥ,brāhmaṇā kṣatriyāḥ vaiśyāḥ śūdrāḥ lobhavivarjitāḥ svaiḥ karmabhireva tuṣṭāḥ svakarmasu pravartante rāme śāsati prajāḥ dharmaparāḥ āsan anṛtāḥ na
prayāṇamiti tacchrutvā rajarājasya yoṣitaḥ hitvā yānāni yānārhāḥ brāhmaṇaṃ paryavārayan,iti prayāṇam śrutvā yānārhāḥ rājarājasya yoṣitaḥ yānāni hitvā brāhmaṇam paryavārayan
anabhijñā vanānāṃ sā nūnaṃ bhayamupaiṣyatiśvāpadānarditaṃ śrutvā gambhīraṃ romaharṣaṇam,vanānām anabhijñā sā nūnam gambhīram romaharṣaṇam śvāpadānarditam śrutvā bhayam upaiṣyati
etena tvāṃ narendro'yaṃ kāruṇyena samāplutaḥśokasaṃkliṣṭa vadano na śaknoti nirīkṣitum,etena ayaṃ narendraḥ kāruṇyena samāplutaḥ śokasaṃkliṣṭa vadanaḥ tvām nirīkṣitum na śaknoti
vānarāṇāṃtuṣaṭitraṃśatkoṭyaḥprakhyātayūthapāḥ nipīḍyopaniviṣṭāścasugrīvoyatravānaraḥ,prakhyātayūthapāḥ vānarāṇām ṣaṭitraṃśatkoṭyaḥ vānaraḥ sugrīvaḥ yatra nipīḍya upaniviṣṭāḥ
dārayansa ca māṃ kākastattraiva parilīyatena cāpyupāramanmāṃsādbhakṣārthi balibhojanaḥ,saḥ kākaḥ mām dārayan tatraiva parilīyate bhakṣārthi saḥ balibhojanaḥ māṃsāt na upāramaccāpi
satān pracicchedahirākṣasendraḥchitvācatanlakṣmaṇamājaghāna śareṇakālāgnisamaprabheṇasvayambhudattenalalāṭadeśe,saḥ rākṣasendraḥ chitvā tān catān pracicchedahi kālāgnisamaprabheṇa svayambhudattena śareṇa lakṣmaṇam lalāṭadeśe ājaghāna
pūjite tvayi dharmajña pūjāṃ prāpnoti mārutaḥtasmāttvaṃ pūjanīyo me śṛṇu cāpyatra kāraṇam,dharmajña tvayi pūjite mārutaḥ pūjām prāpnoti tasmāt tvam api me pūjanīyaḥ atra kāraṇaṃ ca śṛṇu
sa puṣpitāgrāṃ rucirāṃ taruṇāṅkurapallavāmtāmāruhya mahābāhuśśiṃśupāṃ parṇasaṃvṛtām,mahābāhuḥ saḥ puṣpitāgrām rucirām taruṇāṅkurapallavām parṇasaṃvṛtām tām āruhya
kopena sa mahātejāstapo'paharaṇe kṛteindriyairajitai rāma na lebhe śāntimātmana:,rāma mahātejā: sa: kopena tapopaharaṇe kṛte ajitai: indriyai: ātmana: śāntim na lebhe
kva cāraṇyaṃ kvaca kṣātraṃ kva jaṭāḥ kva ca pālanamīdṛśaṃ vyāhataṃ karma na bhavānkartumarhati,araṇyaṃ ca kva kṣātraṃ ca kva jaṭāḥ kva pālanaṃ ca kva bhavān īdṛśam vyāhatam karma kartum na arhati
upasthitaḥ prayuñjānastvayi sāntvamanarthakamarthenaivādya te bhartā kausalyāṃ yojayiṣyati,upasthita: anarthakam sāntvam tvayi prayuñjāna: te bhartā adya kausalyāmeva arthena yojayiṣyati
bhrātrā hi mayi saṃnyāso nikṣipta ssauhṛdādayamtamimaṃ pālayiṣyāmi rāghavāgamanaṃ prati,bhrātrā ayam saṃnyāsaḥ sauhṛdāt mayi nikṣiptaḥ tam imam rāghavāgamanaṃ prati pālayiṣyāmi
evamuktvā tu vaidehī krodhātsuparuṣaṃ vacaḥ rāvaṇaṃ maithilī tatra punarnovāca kiñcana,vaidehī maithilī krodhāt rāvaṇam evam suparuṣam vacaḥ uktvā tatra punaḥ kiñcana novāca
ārogyapūrvaṃ kuśalaṃ vācyā mātā rumā ca me mātaraṃ caiva me tārāmāśvāsayitumarhatha,me mātā rumā ca ārogyapūrvam kuśalam vācyā me mātaram tārām āśvāsayituṃ caiva arhatha
tasya candranikāśeṣu parvateṣu guhāsu carāvaṇaḥ saha vaidehyā mārgitavyastatastataḥ,tasya candranikāśeṣu parvateṣu guhāsu ca tatastataḥ vaidehyā saha rāvaṇaḥ mārgitavyaḥ
tāsāṃ madhye mahābāhuḥ śuśubhe rākṣaseśvaraḥ goṣṭhe mahati mukhyānāṃ gavāṃ madhye yathā vṛṣaḥ,tāsām madhye mahābāhuḥ rākṣaseśvaraḥ mahati goṣṭhe gavām madhye vṛṣaḥ iva śuśubhe
tato gṛhīte duṣprekṣe tvaśobhetāṃ tadāyudhemālādāmabhirābaddhe sītayā samalaṅkṛte,tataḥ duṣprekṣe gṛhīte sītayā mālādāmabhiḥ abaddhe samalaṅkṛte tadāyuthe aśobhetām
